epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4012,1.49971,2.87001,1.33233,0.00467,0.5,0.11221,0.06214,2.79404,3.48914,4.03787,0.00058,0.00058,0.00058
2,78.7789,1.643,2.07434,1.39902,0.00533,0.57143,0.05417,0.01904,2.78478,3.14456,3.47751,0.0011654,0.0011654,0.0011654
3,116.942,1.58154,1.97835,1.45043,0.00467,0.5,0.01236,0.0024,3.59313,3.36624,5.17117,0.00173595,0.00173595,0.00173595
4,154.961,1.61542,1.72419,1.39534,0.006,0.64286,0.01096,0.00291,3.47333,3.29842,4.9721,0.00192575,0.00192575,0.00192575
5,192.679,1.56817,1.54512,1.34804,0.03222,0.14286,0.01359,0.00408,3.10103,4.07037,5.2124,0.001901,0.001901,0.001901
6,231.22,1.60863,1.51592,1.42581,0.18295,0.07143,0.02631,0.0107,2.96621,3.45843,4.12983,0.00187625,0.00187625,0.00187625
7,270.682,1.57491,1.44083,1.39512,0.24164,0.07143,0.04697,0.00978,2.73288,3.35741,3.57218,0.0018515,0.0018515,0.0018515
8,309.25,1.55132,1.28174,1.36842,0.00866,0.64286,0.01722,0.00404,3.01814,3.25073,3.81041,0.00182675,0.00182675,0.00182675
9,351.496,1.50612,1.24422,1.34404,0,0,0,0,4.57642,4.03332,18.2759,0.001802,0.001802,0.001802
10,391.661,1.50382,1.14731,1.32481,0.04857,0.14286,0.03429,0.01317,3.3291,3.04347,3.87158,0.00177725,0.00177725,0.00177725
11,430.669,1.49769,1.14627,1.31857,0.04453,0.07143,0.01121,0.00124,3.18137,3.8482,3.5236,0.0017525,0.0017525,0.0017525
12,469.162,1.53458,1.1931,1.34791,0.00494,0.35714,0.02354,0.00864,3.37318,3.61267,4.05673,0.00172775,0.00172775,0.00172775
13,511.816,1.50489,1.05726,1.31373,0.19453,0.20745,0.07893,0.01596,3.06605,3.04571,3.84542,0.001703,0.001703,0.001703
14,551.614,1.46509,1.03343,1.32181,0.21223,0.21429,0.13704,0.03509,2.77796,2.68582,3.65466,0.00167825,0.00167825,0.00167825
